like,for,com,sum,date,content
920,53,212,1185,2020-04-02,#茶颜悦色[超话]# 年前和摄影老师探了一轮概念店，平时匆匆路过的门店，仔细去看还真的 像个小小宝藏。 好多鱼的金色锦鲤，江枫渔火满溢出的水雾，别有点洞天带着亮闪的楼梯，活字印刷可以玩一下午印泥… 生活中琐碎细小的美好，被温柔包裹得无限大。
2071,258,394,2723,2020-03-30,囍遇你-895  的微博: 虽然是电子卡 但贴积点的方式还是很真实 @茶颜悦色官方微博   长沙
718,1,119,838,2020-03-28,#茶颜悦色[超话]# 今天公司线上年会，所有在营业的门店提前到19:30打烊，部分偏远地区打烊时间可能会更早一些！ 九亿奶茶少女的梦，小葱老师给大家拜年了！！
1080,32,241,1353,2020-03-28,#茶颜悦色[超话]# 小程序&饿了么同步更新了菜单风格，可可爱爱到没有脑袋~
258,5,74,337,2020-03-28,XIAOLANQI  的微博: 今天才知道茶颜悦色原来上新了小程序 以前的会员码转移了地方 然后发现自己消费订单里是暂无 突然有种莫名的心灵空旷 我有打卡茶颜每个店的爱好 除去五一 黄兴 太平街这些日常必去的 不说凯德 长沙晚报 高铁站 裕南街 中南这些地方 那种平常不去 偶尔去一次的 比如北辰三角洲 天虹 铁道学院 湘雅医院...
1148,70,290,1508,2020-03-26,#茶颜悦色[超话]# 山河无恙，人间皆安 【茶颜悦色×张超 限定系列原创设计杯】
1321,267,579,2167,2020-03-25,#茶颜悦色[超话]# 红茶茶冻首次上线！ 忌廉&泡沫系列有新朋友啦 鸡仔说：单吃红茶茶冻我都可以吃十份！
15425,6980,1439,23844,2020-03-22,喜茶  的微博: #在家做喜茶#  万物皆可波波！必学美味，一看就会。茶茶独门 #爆浆奶茶波波吐司#  ，麦香与奶茶香十足，黑糖波波软糯香甜，一定要点进来感受一下爆浆🧀 来get茶茶本期同款装备，一起 #搞点蛋糕778#  ~ 🎁转发，揪一位送茶茶同款美的三明治机！  喜茶的微博视频    抽奖详情
1117,17,178,1312,2020-03-20,|#茶颜悦色[超话]# #茶话绘# 春分|| 「春分到，蛋儿俏。」 在古老的传说中，春分这天最容易把鸡蛋立起来。这是一个需要静下来的小游戏，说不定能对你的心态有一点启示哦|
139,1,55,195,2020-03-18,茶颜悦色官方微博  的微博: #茶颜悦色[超话]# 忙里偷闲和大家聊一嘴 官博这个账号是幼儿园新媒体组共同运营的，当然，还包括不在编制内的boss本人。 基本上那些，大家看到官博参与的：你最欢那个茶饮品牌的投票，或者画风清奇的回复…都有可能是boss半夜在串岗值班 现在，我们要背着boss搞个小动作，我们【摸鱼侠西湖分侠】有微...
293,3,232,528,2020-03-18,#茶颜悦色[超话]# 忙里偷闲和大家聊一嘴 官博这个账号是幼儿园新媒体组共同运营的，当然，还包括不在编制内的boss本人。 基本上那些，大家看到官博参与的：你最欢那个茶饮品牌的投票，或者画风清奇的回复…都有可能是boss半夜在串岗值班 现在，我们要背着boss搞个小动作，我们【摸鱼侠西湖分侠】有微...
272,3,111,386,2020-03-16,#茶颜悦色[超话]# 恭喜： @vv过六级了吗   @艾穆啊   @想喝筝筝纸鸢   @二爷回长沙   @喜欢李荣浩的小陈   @夏季限定绿忙   @陈小汐汐汐汐   @正版果宝   @·弋気·  9名小主登陆春天成功，获得同心瓶铁罐一对。快把收件信息私信给我们吧~ 为什么说好抽8名，但是抽了9名呢，因为我们想要用9宫格把春天放下。
677,60,138,875,2020-03-14,诺坎普是晴天  的微博: 哈哈哈哈哈哈，我们茶颜女孩太难了 @茶颜悦色官方微博   长沙
836,55,511,1402,2020-03-12,#茶颜悦色[超话]# 风吹梅蕊闹，雨细杏花香。园区的杏花已经打开了花苞，垂柳也抽出了新芽，春天悄无声息的潜入了我们身边。 每年春天都会想起筝筝纸鸢海报上的文案： 把二月解冻的冰河喝掉/把三月远方的雷鸣喝掉/把四月的桃红柳绿喝掉/把五月幼儿园小朋友春游的喧闹喝掉/一整个春天，抓不住，留不下的...
769,62,381,1212,2020-03-10,#茶颜悦色[超话]# 今天，点一杯幽兰拿铁吧~ 现有九家门店饿了么平台已上架忌廉篇，快戳戳评论有没有你家附近的茶颜悦色~
528,11,126,665,2020-03-08,#茶颜悦色[超话]# #国际妇女节# .特辑plog-那些极致可爱的茶颜女孩
753,63,128,944,2020-03-06,浪里小草莓  的微博: 我再次宣布我和茶颜悦色锁死！ 茶颜悦色太可爱了呜呜呜 我备注说我太馋了，想多加一点奶盖 收到的时候发现了一个便利贴，上面是手绘的黑耗子 我太爱茶颜的奶盖了 我可以就着花生米喝一斤纯奶盖 @茶颜悦色官方微博  请接收我的表白
468,18,92,578,2020-03-05,|#茶颜悦色[超话]# #茶话绘# 微雨众卉新，一雷惊蛰始 今日||惊蛰|
527,46,298,871,2020-03-04,#茶颜悦色[超话]# 喝茶不必亲相见，第二批外卖店上线。 [给你小心心]以下是第二批上线的外卖门店，请小主们查收~
288,25,181,494,2020-03-03,#茶颜悦色[超话]# [给你小心心]叮咚~您有新的24家饿了么外卖上架了，请打开饿了么app，搜索<茶颜悦色>进行查收~ 第二批上架门店里有很多是商场店，所以外卖开店时间跟随商场，可能是10:30，可能是12:00，小主们不要太着急。部分门店的淡奶芝士需要六号上线~我们一定埋头苦干争取早日上架！
114,0,41,155,2020-03-02,#茶颜悦色[超话]# @小辰的顺丁杉_0921  ; @澄澄冰爱吃醋  ; @夏季限定绿忙  三位小主在安利电影的云比赛中脱颖而出，快将收件信息私发给我们吧~
415,16,229,660,2020-03-02,#茶颜悦色[超话]# 一个关于小老鼠的豆本 现在外卖/线下点单都会随单附送 每家门店只有300册，而且不会补货！
1557,514,755,2826,2020-03-01,#茶颜悦色[超话]# 茶颜悦色淡奶芝士系列上架啦！ 该先喝哪一杯比较好呢，在线等，挺急的
587,20,682,1289,2020-02-28,#茶颜悦色[超话]# 明天就是周末啦，有没有计划好周末怎么度过。 摸鱼的休息三件套是：煲汤，点香薰蜡烛，看电影。最近不能出门，在疫情期间又刷了一遍《甄嬛传》，一遍《武林外传》，一遍《哈利波特》全系列。 [礼物]在评论里安利你会重温的电影/电视剧吧，3/2号抽三位小主送茶颜同心瓶茶罐一对(这次...
337,12,109,458,2020-02-27,llllllllllsssyyy  的微博: 锁胃就算了，现在怎么还开始撩人了呢！！！死鬼！！！ @茶颜悦色官方微博
194,3,58,255,2020-02-26,#茶颜悦色[超话]# 恭喜： @西瓜瓜-伟大的渺小  ， @铱啊nna  ， @魔法少女七七啊  ， @虎皮姜酱  ， @吱哟阑  五位小主获得由茶颜企业店铺
12526,1417,2491,16434,2020-02-26,#茶颜悦色[超话]# 关于茶颜悦色2020年，是否将继续武汉开店计划声明。
2567,133,459,3159,2020-02-24,#茶颜悦色[超话]# 关于茶颜悦色开设线下门店的一则回复
199,0,58,257,2020-02-23,#茶颜悦色[超话]# 开奖会鸽子精，但绝不鸽子太久。 恭喜: @Yinnilee    @逢坂大直Justice   @夏季限定绿忙  获得匡扶老师的《回答不了》一本;  @哈呢甜  同学是不是最近在备考教师资格证，摸鱼个人送你三包习惯茶提提神吧！ 以上小主将收货信息私发给我们，我们统一在3月一起寄出。 早点睡，古耐[心]~
843,40,564,1447,2020-02-23,#茶颜悦色[超话]# 号外号外：五江天街店，含浦店，绿地店饿了么外卖上线啦~ 茶颜外卖有没有开放到你家附近，如果没有，我再努努力…
746,36,1075,1857,2020-02-22,#茶颜悦色[超话]# 宅在家的这段时间里你有没有点亮一些特别的厨艺技能，比如凉皮/油条/奶茶…当当当~本周最后一次云比赛来啦~ [礼物] 留言你最近厨艺学习成果照片吧，成不成功不重要，但一定要是自己亲手做的哦。我们在2/26号抽取五名小主送上神秘周边( 本次周边由我们茶颜悦色企业店铺赞助~撒花~)
376,20,259,655,2020-02-21,#茶颜悦色[超话]# 摸鱼好久没有推荐书了，今天推荐的是-匡扶老师的《回答不了》。之前一直在看他的公众号，每期看完心里都会有很多感触，我印象比较深的几篇是：老关的理发店，不听老人言。这本书其实就是连载的故事绘合集，绘者观察角度真的独特，也适合睡觉在前翻一翻。 [礼物]留言分享一下你最近读...
1560,72,340,1972,2020-02-21,#茶颜悦色[超话]# 茶颜之前一直不提倡外卖，是因为茶颜招牌产品的奶沫和淡奶油现做最好喝，直到现在这个疫情特殊的时刻…..把我们逼上了线上梁山，团队想破脑壳在食材不变的前提下霸蛮对抗外送时间这个物理事实，与其说与物理斗，不如说是与自己斗，结果……结果还是现喝最好喝 外卖第二好喝。 大家反...
805,4,124,933,2020-02-20,#茶颜悦色[超话]# 猛得想起还有抽奖没开：恭喜： @OrangeTree_    @来一杯珍珠四季奶青   @喜欢李荣浩的小陈  三位幸运小主。将收件信息私发给我们吧~ 明天记得吃早餐哦，至于为什么，这是个秘密。
309,2,78,389,2020-02-20,#茶颜悦色[超话]# 在后台看大家留言时发现有小主自己做了一版插画的壁纸，不知道大家是不是和鸡仔们一样都喜欢这组小漫画。我们也悄悄做了两张手机壁纸。希望在特殊的时期里春姑娘也能陪伴在大家身边。 大家都要加油哦！加油加油加油加油！
1476,262,595,2333,2020-02-20,#茶颜悦色[超话]# 外卖今天试运行第一天，我们切切实实的感受到大家大家的热情：外卖十点开始营业，不到十分钟就爆单了，地铁口店十二点营业，十一点就有比较长的队伍… 目前，外卖已经采取了特殊应对措施，紧急增调人手，力求能最大限度的帮小主们接单制作，如果当前门店显示暂不接单，还请大家稍安...
78,4,32,114,2020-02-19,茶颜悦色官方微博  的微博: #茶颜悦色[超话]# 家里的毛孩子会不会感到奇怪：平时朝九晚五的主人，最近天天陪着我。 快来告诉刷到这条微博的人我们家的喵喵/旺旺全世界第一可爱！ [礼物]上传你家毛孩子/路边的毛孩子/你拍到的毛孩子…到这条微博，2/19号我们揪三位优胜小主每人送习惯茶四包(三月一号寄出)
870,113,228,1211,2020-02-19,《找春天。》   找春天。
646,28,114,788,2020-02-19,|#茶颜悦色[超话]# #茶话绘# 今日雨水||  江南无所有，聊赠一枝春。|
590,22,379,991,2020-02-18,#茶颜悦色[超话]# 早喔，今天紫外线很强，不管是通勤还是在家云办公都记得擦防晒霜。 摸鱼已经在家办公半个月了，从最开始有些不习惯，现在觉得没有挤地铁，排食堂，等外卖的感觉还挺好，而且能在家点上香氛蜡烛，畅快放喜欢的乐队真的有点暗爽诶… [礼物]不管你已经恢复正常办公了，还是在家云办公，...
1006,52,783,1841,2020-02-17,#茶颜悦色[超话]# 家里的毛孩子会不会感到奇怪：平时朝九晚五的主人，最近天天陪着我。 快来告诉刷到这条微博的人我们家的喵喵/旺旺全世界第一可爱！ [礼物]上传你家毛孩子/路边的毛孩子/你拍到的毛孩子…到这条微博，2/19号我们揪三位优胜小主每人送习惯茶四包(三月一号寄出)
649,130,106,885,2020-02-17,在长沙  的微博: 长沙坡子街派出所 @警界易点点  “点哥”在线接听电话，为答疑，巡逻的时候特意核实茶颜悦色哪一号开门 。警察蜀黍感叹：现在打架的没了、偷东西的没了、纠纷都没了…还是希望它热闹起来，热闹了就证明一切都恢复正常秩序了！ 视频：城市守护者  你好长沙的微博视频    长沙
59,4,30,93,2020-02-16,茶颜悦色官方微博  的微博: #茶颜悦色[超话]# 今天是你没有出门的多少天？ 既然不能出门，那我们不如分享[窗外的世界] 大家可以在这条下留言分享你家窗外的世界，或者阳台一角，窗边光影… 我们将在2/16号选取3名优秀作品，赠送随机口味的同心瓶铁罐一对（目前摸鱼在家办公，礼品统一在三月一号寄出~）
538,16,115,669,2020-02-14,#茶颜悦色[超话]# #情人节这样过# 这是一个特殊的情人节，我们可能相隔千里;可能在同一座城市却没有办法陪伴拥抱…无论如何，距离很远，我们的心是紧紧依偎在一起的。 另外，速速换上小丘同款壁纸，让桃花buff眷顾你一整年[给你小心心]~
842,32,479,1353,2020-02-13,#茶颜悦色[超话]# 今天是你没有出门的多少天？ 既然不能出门，那我们不如分享[窗外的世界] 大家可以在这条下留言分享你家窗外的世界，或者阳台一角，窗边光影… 我们将在2/16号选取3名优秀作品，赠送随机口味的同心瓶铁罐一对（目前摸鱼在家办公，礼品统一在三月一号寄出~）
776,47,231,1054,2020-02-12,#茶颜悦色[超话]# 由于目前还在防疫特殊时期，为了各位小主和伙伴的安全，我们不得不将营业时间再延后，正式营业还得再等等… 我们真的非常想念大家！ 也希望小主们做好防护，不要出门，实在想我们了，可以在淘宝茶颜悦色企业店铺选购周边茶叶解解馋。 ps. 由于现在特殊时期，店铺最迟72小时内发货~ ...
467,20,97,584,2020-02-08,人民日报  的微博: 【团圆有期， #武汉加油# 】武汉战疫，一定能赢，疫消之后，再来团圆！
561,810,130,1501,2020-02-04,长沙美食小分队  的微博: 你们要的 #自制奶茶# 攻略！新手小白也能一次 成功的方子！ 材料：一个小奶锅/纯牛奶：500ml/茶包：2-3包/白砂糖：一小勺/其他：布丁、红豆等 制作： ①奶锅，一勺水一勺糖，小火。耐心等待，（没什么诀窍，就是耐心，看到白砂糖变成焦黄就可以了，差不多5分钟。要相信，所有的等待都是值得的，这个过...
1672,126,218,2016,2020-02-04,#茶颜悦色[超话]# #茶话绘# 我想在阳光下奔跑， 酣畅地喝完一整杯冰幽兰， 我想要和喜欢的人拥抱在一起， 不戴口罩自由的呼吸， 这不是我向往的生活，这是我原本的生活。 春天已经来了，春天就要来了…
3391,2600,310,6301,2020-02-01,站在木星上数月亮  的微博: @茶颜悦色官方微博    你们很早之前捐给武汉的物资  今天在红十字仓库里发现了   衡阳
723,35,155,913,2020-02-01,#茶颜悦色[超话]# 这段时间大家都宅在家原地待命，一定有许多人因为疫情无法和家人团聚、与想见的人见面。虽然确诊人数每天在增多，但每天也都有好消息传来，看到白衣天使们奋战在前线的身影，在感动和感谢的同时，也给了我们大家许多信心，相信疫情一定会过去，开春去霾，互相想念的人们一定会再见。 ...
689,39,325,1053,2020-01-28,#茶颜悦色[超话]# 初四啦，今天你有没有走出被窝，到客厅锻炼锻炼… 有很多小主在询问门店营业信息，目前暂定在营业的只有机场店，大家答应摸鱼：千万千万不要出门乱走 明天天气依旧很好，可以抽空想一下我~！
1161,333,418,1912,2020-01-27,肉丸肉丸想见你  的微博: 大家好，我在微博开了一家茶颜悦色！快来点单吧。 因为人手不足，现在微博招工5名。
301,2,91,394,2020-01-24,摸鱼最后的小彩蛋啦~ 大家一定要！戴口罩！
138,1,184,323,2020-01-24,#茶颜悦色[超话]# 红包压岁，岁岁平安 <支付宝-红包-口令红包 >  最后一个红包啦~大家的热情和手速超乎摸鱼的想象，不管是抢到红包的朋友还是没有抢到红包的朋友，茶颜和大家永远都是好朋友~
172,6,253,431,2020-01-24,#茶颜悦色[超话]# 红包压岁，岁岁平安 <支付宝-红包-口令红包 >
196,6,172,374,2020-01-24,#茶颜悦色[超话]# 红包压岁，岁岁平安 [支付宝-红包-口令红包 ] 下一场是22:30啦~
168,6,201,375,2020-01-24,#茶颜悦色[超话]# 红包压岁，岁岁平安 支付宝-红包-口令 (每年茶颜都有红包压岁的环节，今年虽然情况特殊，但是还是希望给大家带来好彩头和福气。)
225,2,116,343,2020-01-24,#茶颜悦色[超话]# 红包压岁，岁岁平安 支付宝-红包-口令红包
306,41,29,376,2020-01-24,梨视频  的微博: #为什么要把名字写在防护服上# 【 #医护人员把名字写在防护服上# ：不然从头包到脚，认不出谁是谁 】1月24日，湖南长沙，湘雅三医院的医护人员穿上了隔离服，并互相在对方背后写上名字和加油字句。医护人员称是为了方便大家辨认，也是给自己加油鼓劲儿。现场一位患者说，为了家人也为了自己，虽只是感...
759,4,103,866,2020-01-23,#茶颜悦色[超话]# 插播一条营业通知：            1/23号(今天)街边门店20点打烊，商场店营业时间跟商场要求走。 1/24号(明天)街边店17:00打烊，商场店跟着商场走。 外面天冷，小主们最好少出门。 摸鱼明天晚上陪大家看春晚，发红包🧧~
2114,131,233,2478,2020-01-22,面对新型冠状病毒，希望我们的措施还不算晚，愿通过切实的执行，尽量保证小主和伙伴都顺顺利利、平安健康地过个年！大家自己也一定要保重身体！ 谢谢时代阳光为我们提供的春节防护指南，大家可以按照图示的洗手方法做更有效的清洁。
830,15,108,953,2020-01-21,小瑾马甲  的微博: #茶颜悦色[超话]# 口罩一戴，肺炎不爱[doge]
846,50,31,927,2020-01-21,共青团中央  的微博: 84岁的他建议公众“没什么特殊情况，不要去武汉”，然后自己义无反顾赶往武汉防疫第一线。 #84岁钟南山再战防疫最前线# （苏越明摄）
360,3,65,428,2020-01-20,#茶颜悦色[超话]# 摸鱼和摄影老师去拍概念店(主要其实就是打打杂) 谁能想到别有洞天的地面是带着细闪的 有点梦幻
414,6,50,470,2020-01-20,#茶颜悦色[超话]# #茶话绘# “ 夜深知雪重，时闻折竹声。” 今日大寒，最美风景是归途
552,4,99,655,2020-01-19,#茶颜悦色[超话]# 己亥猪年 腊月廿五
30991,5548,5849,42388,2020-01-18,#茶颜悦色进军武汉# #茶颜悦色[超话]# 关于茶颜悦色2020年外区规划的自白
758,36,230,1024,2020-01-17,#茶颜悦色[超话]# 最新闭店通知来啦~ 请各位小主们仔细查阅，另外，最了撇的分辨办法就是：几乎所有的商场店都是全年无休，只会调整开店闭店时间。 盲选不出错
685,77,275,1037,2020-01-17,王小鞋儿  的微博: #茶颜悦色[超话]# 呜呜呜我可以了！ @茶颜悦色官方微博
730,7,189,926,2020-01-16,#茶颜悦色[超话]# 今年过年把年货带回家
284,2,72,358,2020-01-16,不知道这个谐音梗，又得扣多少钱...  你这话什么意思？
371,32,140,543,2020-01-14,王一万万  的微博: 茶颜悦色这两个鼠年新春限定杯值得我为它单独发微博太好看了吧 筝筝纸鸢也是我的爱  长沙·CFC富兴时代购物中心
1289,8,264,1561,2020-01-13,x傻安迪吖  的微博: 你们jio不jio得 “出门喝茶颜，外卖欢喜殿” 听着好违和，好别扭… 超级别扭… #茶颜悦色[超话]#
433,21,195,649,2020-01-12,#茶颜悦色[超话]# 幼儿园的过年氛围✨ 欢乐声声，大过鼠年 PS.现在只要在门店购买饮品就会附赠小对联哦
325,4,89,418,2020-01-12,#茶颜悦色[超话]# 周末好！ 今天天气也太好了吧！快出来走走~ 猜猜摸鱼在哪里？
249,17,136,402,2020-01-11,#茶颜悦色[超话]# 快来找我们玩，我们又出来摆摊啦，这次是参加省图的新春文化庙会 📍:湖南省图书馆(公交车在窑岭北站下车) ⏰：2020/1/11-2020/1/13(9:00-16:00) 另外，我们给大家准备了一个小小的彩蛋，关注茶颜悦色公众号，回复以下任意一个四字关键词： 出门遇喜/ 拜相封侯/ 锦绣年余/ 耄耋长...
358,36,190,584,2020-01-10,#茶颜悦色[超话]# 湿漉漉的天气，最需要暖心热饮和好消息 新品  [悠哉悠哉 ] 除了悠优港店售卖外，从今天起: 乐和城店、林科大二店、别有洞天店、58小镇店、万博汇店都上架啦~ 想要找到上述门店营业信息，可以移步去公众号的菜单栏-地址版块。今天太冷了，记得多穿一点，带雨伞
367,22,74,463,2020-01-09,桃花源没有桃花，黄土岭还真的有蛮多黄土...  茶颜好土，土得掉灰
802,38,251,1091,2020-01-06,#茶颜悦色[超话]# 摸鱼独家带货时间 就让我陷入这无人的慵懒，任世界摇摇欲坠把现实变梦幻 模特：李鼎(吾悦广场二店店长) 道具：sexybaby六周年销量帆布包 后期app:Pics Art
412,12,90,514,2020-01-06,#茶颜悦色[超话]# #茶话绘# “晚来天欲雪，能饮一杯无” 今日是24节气-小寒 小寒是一年中最冷的时候，出门不要再漏脚脖子，要穿得暖暖和和的。
493,17,232,742,2020-01-05,#茶颜悦色[超话]# 偷偷告诉你们：企业店铺上新啦~ 全城都缺货的帆布大包和凉凉乌龙都有，数量极少。 帆布包真的太百搭了，答应我一定要入一个！ (茶颜刘昊然说因为那条微博他涨了60个活粉，这个数据怎么比我单条涨粉都多！？[酸])
1302,16,449,1767,2020-01-04,#茶颜悦色[超话]# 最近开了超级多新店，摸鱼今天背上相机又要暴走全城… 此刻，在心里默默跳一首茶颜舞：我真的很不错！ 我是真的真的真的很不错！
48,3,60,111,2020-01-03,茶颜悦色官方微博  的微博: #茶颜悦色[超话]# 【敢于折腾，陆陆有为】 庆祝六岁、庆祝平凡、庆祝有笑有泪真实的人生~~ 关注 @茶颜悦色官方微博   + 转评赞这条微博送上你的生日祝福，我们将在1月3日通过  @微博抽奖平台  抽取抽10位小主送出【陆陆有为周边福袋】 作我的英雄，在我的天空，我知道你会懂。[心]...
39,3,11,53,2020-01-03,茶颜悦色官方微博  的微博: #茶颜悦色[超话]# #小照片的传奇[超话]# 赶着六周年，茶颜和好朋友 @天真蓝  倾情打造茶颜悦色六周年×天真蓝联名限定系列—— 「SEXY BABY」&「DANGDANG BABY」踩着圣诞的铃声在长沙区域限时限量上架了！ 摸鱼也给小主们带来了圣诞礼物[礼物]：关注 @茶颜悦色官方微博  并转发这条微博，1/3号将抽取10名幸运...
770,41,197,1008,2020-01-02,#茶颜悦色[超话]# 我们曾在田野里歌唱，在冬季里盼望 [黄土岭.主题概念店] 路透一 九龙仓三店 地址：国金中心商场负一层LG103A商铺
1297,15,267,1579,2020-01-01,#茶颜悦色[超话]#  新年快乐~ 祝大家在新的一年里万事胜意，一切比你想要的，都再好一点٩( *´﹀`* )۶
167,0,41,208,2019-12-31,邹--倩  的微博: -  唯爱与信仰不可辜负   -    @茶颜悦色官方微博
816,26,167,1009,2019-12-28,#茶颜悦色[超话]# 设计老师连夜赶出的插画， 可可爱爱。 快给手机换上新壁纸啦~
4667,3024,4473,12164,2019-12-28,#茶颜悦色[超话]# 【敢于折腾，陆陆有为】 庆祝六岁、庆祝平凡、庆祝有笑有泪真实的人生~~ 关注 @茶颜悦色官方微博   + 转评赞这条微博送上你的生日祝福，我们将在1月3日通过  @微博抽奖平台  抽取抽10位小主送出【陆陆有为周边福袋】 作我的英雄，在我的天空，我知道你会懂。[心]...
583,34,255,872,2019-12-26,Gig1-  的微博: - #茶颜悦色[超话]#   @茶颜悦色官方微博   这样美妙的夜，已经足够 Every time she goes Everywhere we've known
1530,151,490,2171,2019-12-26,茶颜悦色2019冬季第二款饮品上架啦，这款新品有点神秘 这次我们只在一个门店首发 这款产品的茶底是我们第一次使用 有人说他是话梅陈香味 有人说是小时候的奶油冰淇淋 有人说是炭火掩盖着的红薯 …… 新品悠哉悠哉今日正式在茶颜悦色悠优港店上架，同时 @华远悠优港  也准备了很多新的周边(茶颜积点也...
388,460,369,1217,2019-12-25,#茶颜悦色[超话]# #小照片的传奇[超话]# 赶着六周年，茶颜和好朋友 @天真蓝  倾情打造茶颜悦色六周年×天真蓝联名限定系列—— 「SEXY BABY」&「DANGDANG BABY」踩着圣诞的铃声在长沙区域限时限量上架了！ 摸鱼也给小主们带来了圣诞礼物[礼物]：关注 @茶颜悦色官方微博  并转发这条微博，1/3号将抽取10名幸运...
383,17,134,534,2019-12-25,文章在手，新品我有~  为什么这么多外地朋友今年都在喊着一定要喝到茶颜？
581,10,134,725,2019-12-24,#茶颜悦色[超话]# 圣诞老人是真的。他就像爱和仁慈和忠诚一样必然存在，你知道他们无处不在，并将最崇高的美好和欢乐赋予你的生命中-《麦琪的礼物》 [圣诞老人]成人和小孩都需要童话和圣诞，祝我的小主们每天都快乐。
322,25,200,547,2019-12-22,一个小唧  的微博: #茶颜悦色[超话]#  换新周边了[doge]
535,23,93,651,2019-12-22,#茶颜悦色[超话]# #茶话绘# 和家人在一起，比冬至吃什么更重要[心] #冬至#
405,5,102,512,2019-12-21,#茶颜悦色[超话]# 还记得学生时代我们递过的纸条吗？ -放学要不要一起走. -中午吃什么. -你的笔记借我看一下. …… 我也忘记在哪个瞬间发现自己是大人了. 可能就是隐藏自己情绪，羞于表达的时刻. 但我在这一秒，还是想要大声告诉你： #朕有话说#
729,124,372,1225,2019-12-19,虽然你们都知道了，都是我还是要超大声的说：我们上新啦！！~（内含互动福利！）  所以茶颜还能不能出一款新品让你觉得可以超越幽兰呢？
583,10,246,839,2019-12-18,#茶颜悦色[超话]# 摸鱼去门店打卡，发现我们上了新版杯贴了[并不简单] 最近在萃热饮技术上门店选手发挥得很不稳定，有很多匡瓢的情况出现，希望各位小主在多多包涵的同时积极使用鲜茶求偿权。 我们的目标是：这次匡瓢不打紧，下次我们一定不会再匡瓢啦~
848,28,192,1068,2019-12-16,#茶颜悦色[超话]# 好多小主今天私信摸鱼：怎么金茂览秀城店一夜之间不见了[允悲] 其实是我们搬家了，就在原铺面的斜对面，原本可以无缝对接的，因为工程原因延迟了，我们一定会让新店在圣诞前交付出来。 给小主带来不便，敬请谅解~
75,3,41,119,2019-12-14,湖南卫视舞蹈风暴  的微博: 【 #舞蹈风暴# 直播】 今晚，两位顶级女舞者 @郝若琦  与王雪柔 @W雪柔-xr   变身“郝木兰”与“王雪刚”，带来一舞《惑·心》“画皮”般的东方魅影撩人心弦，红裙起舞似温暖火焰，在空中划出一道挣扎的光影；一袭蓝裙转瞬似人性欲望，在黑夜拉拢人心的黑暗。是善与恶的对抗，是天使与魔鬼的纠缠。一幕终章，...
647,31,247,925,2019-12-13,#茶颜悦色[超话]# 不得了，不得了 研发老师说这个月除了新品XXX以外，还有一款新品小范围上架. 要知道我们之前一年才上新两款产品，今年12月果然是积攒了大招，上新多到数不过来😘~
229,9,79,317,2019-12-12,快来pick你最喜爱的八仙吧~~（真.神仙爱豆） 周边上新，史上最有梗的「八仙」天团出道！
1333,17,299,1649,2019-12-12,我是整个微博第一个戴上圣诞帽的官V。 帽子一戴，谁都不爱
